"都道府県名","市町村名","平均所得"
"北海道","黒松内町",2816233
"北海道","江別市",2815397
"北海道","美深町",2814229
"福岡県","遠賀町",2813153
"熊本県","西原村",281924
"長崎県","佐世保市",281453
"香川県","多度津町",281390
"三重県","多気町",2809476
"広島県","竹原市",2808833
"北海道","釧路市",2808829
"埼玉県","小川町",2808737
"北海道","富良野市",2807774
"栃木県","矢板市",2807103
"愛媛県","八幡浜市",2806318
"長野県","東御市",2805704
"北海道","秩父別町",2803688
"北海道","留萌市",2803638
"北海道","今金町",2803567
"静岡県","森町",2801947
"北海道","南富良野町",2801878
"北海道","積丹町",2801790
"群馬県","片品村",2801655
"宮城県","七ヶ浜町",280944
"群馬県","藤岡市",280904
"長野県","北相木村",280901
"岩手県","矢巾町",280672
"奈良県","上北山村",280196
"岡山県","井原市",2799544
"鳥取県","鳥取市",2799281
"新潟県","柏崎市",2797867
"石川県","かほく市",2796299
"茨城県","笠間市",2794631
"茨城県","下妻市",2793440
"北海道","羽幌町",2792799
"福島県","須賀川市",2792200
"北海道","上ノ国町",2791919
"和歌山県","新宮市",2791885
"岐阜県","揖斐川町",2791793
"群馬県","大泉町",2791783
"新潟県","燕市",279952
"茨城県","小美玉市",279624
"福井県","あわら市",279487
"長野県","松川町",2789765
"奈良県","下市町",2789491
"滋賀県","高島市",2788916
"千葉県","鴨川市",2788199
"三重県","尾鷲市",2787750
"北海道","真狩村",2787309
"北海道","小平町",2786873
"北海道","上富良野町",2785573
"北海道","東川町",2784515
"宮城県","大河原町",2784427
"鹿児島県","薩摩川内市",2783970
"静岡県","牧之原市",2783437
"岡山県","鏡野町",2781344
"青森県","東通村",278874
"福岡県","宇美町",278788
"北海道","浦臼町",278505
"岐阜県","七宗町",278435
"北海道","鷹栖町",278374
"長野県","池田町",2779926
"長野県","富士見町",2779305
"埼玉県","寄居町",2779043
"奈良県","宇陀市",2778874
"長野県","辰野町",2777623
"青森県","青森市",2776879
"千葉県","横芝光町",2776403
"広島県","府中市",2776257
"福島県","棚倉町",2775570
"山口県","田布施町",2775228
"埼玉県","美里町",2775187
"埼玉県","上里町",2775122
"宮崎県","日向市",2774743
"岡山県","瀬戸内市",2774699
"高知県","南国市",2774285
"佐賀県","上峰町",2773805
"鹿児島県","奄美市",2773695
"山形県","天童市",2773429
"佐賀県","江北町",2773096
"山形県","東根市",2771448
"和歌山県","田辺市",277258
"山梨県","早川町",2768130
"千葉県","八街市",2767571
"北海道","和寒町",2767286
"徳島県","石井町",2766525
"山形県","米沢市",2764625
"千葉県","長生村",2764470
"滋賀県","甲良町",2763892
"千葉県","館山市",2763528
"和歌山県","かつらぎ町",2762540
"兵庫県","丹波市",2762235
"沖縄県","南風原町",2761226
"兵庫県","宍粟市",276735
"千葉県","長柄町",2759218
"大分県","別府市",2758976
"茨城県","大洗町",2758466
"千葉県","多古町",2757435
"長野県","中野市",2756386
"石川県","加賀市",2756314
"福岡県","吉富町",2755434
"山形県","小国町",2754991
"香川県","三豊市",2754248
"北海道","滝川市",2753742
"福岡県","直方市",2753515
"北海道","剣淵町",2753184
"三重県","度会町",2753179
"千葉県","白子町",2752968
"兵庫県","淡路市",2752258
"富山県","立山町",2752127
"長野県","白馬村",2751851
"和歌山県","上富田町",2751590
"茨城県","坂東市",275819
"福島県","塙町",275134
"奈良県","吉野町",2749785
"北海道","岩内町",2749604
"富山県","小矢部市",2749283
"北海道","当別町",2749242
"青森県","十和田市",2748782
"青森県","むつ市",2748709
"大分県","宇佐市",2748443
"鹿児島県","徳之島町",2748191
"奈良県","五條市",2747364
"兵庫県","南あわじ市",2746130
"茨城県","高萩市",2746004
"香川県","綾川町",2745843
"岐阜県","郡上市",2744807
"奈良県","安堵町",2744201
"兵庫県","神河町",2744112
"愛媛県","宇和島市",2743837
"福岡県","柳川市",2743663
"秋田県","にかほ市",2743514
"沖縄県","石垣市",2739624
"宮城県","東松島市",2739617
"愛知県","設楽町",2738465
"宮城県","大崎市",2737824
"北海道","深川市",2737313
"富山県","入善町",2737252
"北海道","岩見沢市",2737046
"大分県","日出町",2735741
"福島県","新地町",2735680
"岡山県","玉野市",2735369
"福井県","若狭町",2734584
"茨城県","茨城町",2733137
"岡山県","赤磐市",2732267
"京都府","南丹市",2731979
"香川県","さぬき市",2729714
"香川県","琴平町",2728918
"千葉県","山武市",2728915
"和歌山県","湯浅町",2728796
"北海道","伊達市",2728431
"茨城県","桜川市",2725801
"北海道","由仁町",2723716
"三重県","南伊勢町",2723683
"神奈川県","箱根町",2723352
"茨城県","稲敷市",2722267
"広島県","江田島市",2722121
"栃木県","益子町",2721873
"宮崎県","諸塚村",2721841
"福島県","本宮市",2721739
"岩手県","滝沢市",2719928
"長崎県","新上五島町",2719112
"福島県","磐梯町",2718884
"福岡県","筑前町",2718787
"長野県","小諸市",2718150
"広島県","三次市",2717720
"福岡県","大牟田市",2717091
"茨城県","鉾田市",2715244
"長崎県","佐々町",2713763
"沖縄県","恩納村",2712898
"兵庫県","市川町",2712771
"佐賀県","唐津市",2712739
"福島県","鏡石町",2711542
"福岡県","水巻町",2711033
"岡山県","笠岡市",271507
"和歌山県","日高川町",271478
"宮城県","塩竈市",2709949
"富山県","上市町",2708490
"長野県","南相木村",2708477
"熊本県","玉名市",2707400
"岩手県","久慈市",2707157
"愛媛県","上島町",2707081
"栃木県","那須烏山市",2706722
"埼玉県","ときがわ町",2706449
"滋賀県","豊郷町",2706341
"兵庫県","多可町",2705250
"岡山県","浅口市",2705205
"長野県","大町市",2704070
"島根県","西ノ島町",2704029
"長野県","高山村",2703718
"徳島県","板野町",2703612
"大阪府","千早赤阪村",2703378
"佐賀県","小城市",2703296
"和歌山県","高野町",2702912
"三重県","大台町",2702300
"岩手県","大船渡市",270670
"奈良県","黒滝村",270623
"北海道","奈井江町",2699391
"岩手県","釜石市",2698828
"北海道","乙部町",2698192
"鹿児島県","鹿屋市",2697595
"広島県","大崎上島町",2697193
"熊本県","宇土市",2696464
"青森県","横浜町",2696172
"茨城県","利根町",2695807
"島根県","浜田市",2695157
"兵庫県","朝来市",2693723
"長野県","上松町",2693423
"佐賀県","伊万里市",2692763
"佐賀県","武雄市",2692378
"愛知県","豊根村",2691930
"高知県","四万十市",2691789
"岐阜県","下呂市",2691460
"新潟県","新発田市",2691265
"京都府","宮津市",2691225
"栃木県","日光市",269792
"佐賀県","神埼市",269640
"北海道","赤井川村",269345
"宮崎県","延岡市",2688288
"北海道","美唄市",2688192
"北海道","栗山町",2688124
"長野県","青木村",2687550
"富山県","朝日町",2686418
"京都府","和束町",2685773
"宮城県","柴田町",2685674
"福井県","越前町",2685013
"山形県","酒田市",2684128
"山梨県","市川三郷町",2684010
"兵庫県","豊岡市",2682906
"北海道","登別市",2681445
"岡山県","吉備中央町",2681208
"長野県","小海町",268330
"群馬県","中之条町",2679978
"京都府","綾部市",2679246
"北海道","月形町",2678911
"沖縄県","西原町",2678292
"山形県","寒河江市",2677700
"岐阜県","飛騨市",2677286
"北海道","石狩市",2677150
"長野県","佐久穂町",2677111
"和歌山県","広川町",2676983
"岡山県","高梁市",2676236
"佐賀県","みやき町",2676022
"北海道","長万部町",2675803
"山口県","平生町",2675340
"熊本県","八代市",2675000
"山口県","長門市",2673547
"愛媛県","伊予市",2673483
"福岡県","朝倉市",2672332
"沖縄県","読谷村",2671401
"千葉県","九十九里町",2671308
"鹿児島県","南種子町",2671231
"静岡県","伊東市",2671226
"茨城県","河内町",2671223
"宮城県","気仙沼市",267920
"福島県","中島村",267713
"香川県","東かがわ市",2669693
"岩手県","金ケ崎町",2669100
"三重県","御浜町",2669092
"北海道","様似町",2668609
"新潟県","糸魚川市",2667886
"北海道","増毛町",2667271
"福岡県","田川市",2666830
"長野県","喬木村",2666426
"和歌山県","九度山町",2666189
"福島県","矢吹町",2665183
"福岡県","豊前市",2664673
"石川県","七尾市",2663928
"高知県","宿毛市",2663593
"北海道","釧路町",2663557
"宮城県","亘理町",2663447
"茨城県","常陸大宮市",2663330
"福島県","湯川村",2663068
"香川県","まんのう町",2662984
"石川県","宝達志水町",2662708
"岡山県","勝央町",2661543
"福島県","矢祭町",2661324
"沖縄県","与那原町",2661310
"兵庫県","佐用町",266783
"宮崎県","都城市",2659931
"福岡県","大刀洗町",2659786
"鹿児島県","姶良市",2659681
"福岡県","広川町",2658672
"岩手県","奥州市",2658338
"千葉県","鋸南町",2658215
"島根県","安来市",2657890
"千葉県","睦沢町",2657601
"福井県","南越前町",2657371
"群馬県","甘楽町",2656821
"長野県","麻績村",2656336
"北海道","比布町",2655728
"福岡県","大木町",2655417
"青森県","おいらせ町",2654278
"埼玉県","皆野町",2654218
"高知県","馬路村",2653919
"長野県","飯綱町",2653834
"長野県","朝日村",2653568
"高知県","いの町",2653060
"福島県","二本松市",2652605
"山形県","長井市",2651230
"福井県","大野市",265758
"愛媛県","砥部町",2648566
"大分県","由布市",2648360
"奈良県","川上村",2648250
"石川県","羽咋市",2648032
"三重県","鳥羽市",2647619
"栃木県","那須町",2646890
"島根県","益田市",2646459
"千葉県","勝浦市",2645324
"東京都","檜原村",2644711
"長野県","南木曽町",2644559
"広島県","安芸太田町",2644367
"島根県","海士町",2644291
"鹿児島県","瀬戸内町",2644007
"北海道","壮瞥町",2642509
"宮崎県","椎葉村",2642382
"広島県","北広島町",2642347
"山形県","鶴岡市",2641463
"長野県","王滝村",2641376
"宮城県","大衡村",264686
"大分県","佐伯市",264631
"広島県","安芸高田市",264403
"福島県","葛尾村",26464
"千葉県","いすみ市",2638305
"福岡県","八女市",2637984
"新潟県","小千谷市",2637944
"兵庫県","香美町",2637674
"大阪府","能勢町",2637508
"兵庫県","養父市",2637507
"長野県","立科町",2636937
"長崎県","川棚町",2636465
"福岡県","大川市",2636351
"徳島県","吉野川市",2634538
"愛媛県","大洲市",2634413
"和歌山県","紀美野町",2634022
"宮城県","南三陸町",2633964
"岡山県","備前市",2633050
"宮城県","松島町",2632545
"富山県","南砺市",2632376
"熊本県","人吉市",263334
"鳥取県","境港市",263333
"長野県","木曽町",2629783
"徳島県","上板町",2628739
"新潟県","妙高市",2628271
"和歌山県","印南町",2627231
"秋田県","横手市",2626327
"福島県","浅川町",2626033
"鳥取県","倉吉市",2625472
"京都府","笠置町",2624593
"宮城県","角田市",2624573
"北海道","洞爺湖町",2624502
"京都府","南山城村",2624490
"長野県","大桑村",2624184
"福岡県","中間市",2623498
"福井県","勝山市",2623497
"福島県","泉崎村",2622779
"岩手県","花巻市",2622060
"福岡県","上毛町",2621874
"福島県","天栄村",2621753
"宮崎県","西米良村",2621680
"佐賀県","白石町",2621309
"北海道","愛別町",2621068
"福島県","川俣町",262377
"埼玉県","神川町",2619083
"北海道","余市町",2618584
"北海道","せたな町",2618334
"栃木県","塩谷町",2617365
"山口県","萩市",2617113
"徳島県","阿波市",2616316
"石川県","穴水町",2615157
"山形県","大石田町",2614338
"鹿児島県","知名町",2614316
"長野県","大鹿村",2614239
"和歌山県","由良町",2614114
"北海道","北斗市",2614067
"福島県","伊達市",2613610
"静岡県","下田市",2611277
"青森県","平内町",261359
"三重県","熊野市",2608900
"島根県","知夫村",2608847
"山形県","河北町",2608400
"新潟県","粟島浦村",2608250
"青森県","六戸町",2608177
"徳島県","美馬市",2608083
"山形県","村山市",2607663
"宮崎県","三股町",2607585
"北海道","占冠村",2606096
"岡山県","新見市",2605399
"岩手県","野田村",2604466
"福島県","大玉村",2603973
"愛媛県","愛南町",2603400
"富山県","氷見市",2603074
"三重県","紀宝町",2602913
"鹿児島県","和泊町",2602334
"熊本県","荒尾市",2601504
"徳島県","勝浦町",2601471
"岩手県","宮古市",260782
"宮城県","美里町",260635
"福岡県","みやま市",260291
"鹿児島県","さつま町",2599908
"茨城県","城里町",2599720
"高知県","須崎市",2598883
"長野県","豊丘村",2598632
"山梨県","丹波山村",2598309
"群馬県","東吾妻町",2598266
"高知県","香南市",2597293
"沖縄県","八重瀬町",2596967
"長崎県","五島市",2596534
"高知県","香美市",2596022
"福岡県","宮若市",2594569
"愛媛県","西予市",2594516
"秋田県","能代市",2594054
"福島県","会津坂下町",2593511
"兵庫県","新温泉町",2593462
"福島県","三春町",2593247
"山梨県","南部町",2592543
"鹿児島県","大崎町",2591488
"山形県","山辺町",2591211
"長野県","泰阜村",2591154
"福岡県","築上町",2591047
"山形県","尾花沢市",259939
"熊本県","菊池市",2589349
"山形県","三川町",2588913
"岩手県","紫波町",2588663
"福島県","田村市",2588224
"広島県","世羅町",2587333
"岡山県","和気町",2584875
"沖縄県","名護市",2584866
"長野県","野沢温泉村",2584856
"長野県","木祖村",2583708
"石川県","中能登町",2583271
"高知県","東洋町",2583126
"新潟県","聖籠町",2582878
"千葉県","御宿町",2582849
"福島県","南会津町",2582260
"千葉県","長南町",2581882
"秋田県","由利本荘市",2581525
"三重県","紀北町",2581463
"長野県","長和町",2581414
"新潟県","見附市",2581380
"北海道","小樽市",2581316
"北海道","七飯町",2581045
"鳥取県","伯耆町",258654
"静岡県","伊豆市",258210
"福島県","小野町",258129
"長野県","信濃町",2579792
"徳島県","三好市",2579531
"福島県","只見町",2579189
"島根県","雲南市",2579066
"福島県","古殿町",2578684
"山口県","上関町",2578148
"栃木県","茂木町",2577258
"石川県","志賀町",2576789
"島根県","江津市",2576396
"熊本県","宇城市",2576274
"福岡県","鞍手町",2575490
"北海道","当麻町",2575152
"北海道","知内町",2575009
"宮城県","加美町",2574823
"京都府","与謝野町",2574623
"千葉県","大多喜町",2574027
"岩手県","一関市",2573774
"宮城県","白石市",2573355
"宮城県","登米市",2572736
"秋田県","大館市",2572644
"岡山県","真庭市",2572312
"秋田県","小坂町",2572041
"佐賀県","玄海町",257874
"大分県","日田市",2569195
"福島県","国見町",2568911
"山口県","美祢市",2568666
"徳島県","東みよし町",2568653
"三重県","志摩市",2568148
"広島県","庄原市",2567312
"奈良県","曽爾村",2566438
"佐賀県","嬉野市",2566366
"愛媛県","伊方町",2566224
"新潟県","南魚沼市",2565971
"鹿児島県","枕崎市",2565866
"岡山県","矢掛町",2565126
"京都府","京丹後市",2565109
"沖縄県","うるま市",2564544
"山形県","最上町",2564171
"岐阜県","白川町",2564078
"栃木県","那珂川町",2563338
"長崎県","壱岐市",2562713
"奈良県","山添村",2562642
"岡山県","美咲町",2562134
"長野県","下條村",2561059
"沖縄県","多良間村",256725
"静岡県","河津町",256540
"熊本県","苓北町",256531
"大分県","豊後高田市",256266
"長野県","中川村",256160
"鹿児島県","西之表市",2559565
"岐阜県","東白川村",2559439
"石川県","能登町",2559117
"新潟県","湯沢町",2558249
"鹿児島県","屋久島町",2557396
"宮崎県","日南市",2557350
"福岡県","うきは市",2556988
"山形県","中山町",2556899
"宮城県","栗原市",2556306
"島根県","邑南町",2556195
"愛媛県","鬼北町",2555821
"三重県","大紀町",2555741
"島根県","大田市",2555739
"熊本県","阿蘇市",2555449
"福島県","桑折町",2554363
"高知県","土佐市",2554224
"福島県","石川町",2553907
"香川県","土庄町",2553801
"熊本県","南阿蘇村",2553684
"岩手県","大槌町",2553640
"新潟県","胎内市",2553530
"北海道","喜茂別町",2553477
"鹿児島県","日置市",2552552
"熊本県","上天草市",2552109
"福島県","三島町",2551750
"山梨県","身延町",2551339
"埼玉県","小鹿野町",2551277
"長野県","木島平村",255405
"宮城県","村田町",2549515
"沖縄県","糸満市",2548973
"秋田県","大仙市",2548550
"熊本県","天草市",2548452
"熊本県","水俣市",2547267
"岡山県","奈義町",2546612
"北海道","豊浦町",2544913
"宮崎県","高鍋町",2544579
"青森県","野辺地町",2543819
"佐賀県","鹿島市",2542932
"大分県","臼杵市",2542715
"福岡県","桂川町",2542260
"福島県","喜多方市",2542041
"宮城県","蔵王町",2541243
"沖縄県","座間味村",254805
"岡山県","新庄村",2539844
"群馬県","下仁田町",2539761
"沖縄県","久米島町",2539218
"群馬県","川場村",2538490
"福島県","鮫川村",2537366
"千葉県","南房総市",2537166
"奈良県","天川村",2535930
"熊本県","南小国町",2535837
"香川県","小豆島町",2534458
"奈良県","下北山村",2534378
"長崎県","島原市",2534281
"熊本県","長洲町",2533502
"沖縄県","渡名喜村",2531861
"福岡県","みやこ町",2531810
"鹿児島県","垂水市",2531605
"愛知県","東栄町",253927
"福島県","平田村",2529947
"沖縄県","東村",2529914
"岩手県","陸前高田市",2528583
"大分県","玖珠町",2527472
"山形県","鮭川村",2527172
"愛媛県","久万高原町",2527023
"長野県","飯山市",2526284
"福島県","下郷町",2525469
"鹿児島県","出水市",2525249
"鹿児島県","いちき串木野市",2525003
"佐賀県","太良町",2524965
"鹿児島県","中種子町",2523802
"新潟県","弥彦村",2523601
"宮崎県","高千穂町",2523601
"沖縄県","渡嘉敷村",2522147
"熊本県","御船町",2521977
"徳島県","つるぎ町",2521260
"山形県","高畠町",252234
"島根県","川本町",2517982
"島根県","吉賀町",2517445
"福島県","猪苗代町",2516827
"岩手県","山田町",2515787
"北海道","上川町",2514658
"福岡県","小竹町",2513527
"山形県","飯豊町",2513197
"青森県","外ヶ浜町",2513180
"青森県","五所川原市",2513055
"青森県","七戸町",2512698
"岡山県","西粟倉村",2512497
"和歌山県","白浜町",2512283
"徳島県","美波町",2511542
"長野県","阿南町",2511261
"福島県","玉川村",2511106
"新潟県","加茂市",251286
"高知県","佐川町",2509851
"岡山県","久米南町",2509773
"佐賀県","大町町",2509144
"宮城県","山元町",2508710
"福岡県","香春町",2508699
"長野県","阿智村",2508587
"北海道","木古内町",2507615
"長崎県","平戸市",2507579
"愛媛県","内子町",2506918
"青森県","階上町",2506706
"静岡県","川根本町",2505701
"鹿児島県","志布志市",2504942
"宮崎県","五ヶ瀬町",2504763
"新潟県","魚沼市",2504610
"岩手県","西和賀町",2504420
"山口県","周防大島町",2504240
"群馬県","高山村",2504001
"岡山県","美作市",2503815
"京都府","京丹波町",2502953
"宮崎県","小林市",250995
"北海道","森町",2499764
"新潟県","五泉市",2499262
"秋田県","井川町",2498744
"高知県","檮原町",2498576
"鳥取県","湯梨浜町",2496767
"宮城県","大郷町",2496030
"山形県","上山市",2494403
"鹿児島県","喜界町",2494190
"山形県","大江町",2493961
"和歌山県","那智勝浦町",2492892
"高知県","中土佐町",2492373
"宮崎県","川南町",2492281
"群馬県","みなかみ町",2492183
"青森県","東北町",2491293
"和歌山県","すさみ町",249183
"沖縄県","金武町",249178
"静岡県","東伊豆町",2489259
"福島県","檜枝岐村",2487849
"沖縄県","南城市",2487097
"新潟県","阿賀野市",2484720
"福岡県","糸田町",2483798
"新潟県","村上市",2482246
"沖縄県","伊平屋村",2481969
"熊本県","多良木町",2481294
"秋田県","潟上市",2481055
"大分県","豊後大野市",2479273
"北海道","白老町",2478071
"宮城県","色麻町",2477570
"岩手県","二戸市",2477031
"和歌山県","串本町",2476508
"新潟県","関川村",2475447
"佐賀県","多久市",2475258
"長野県","平谷村",2474828
"長野県","小谷村",2474331
"福島県","会津美里町",2474091
"鹿児島県","龍郷町",2473888
"福井県","池田町",2473875
"新潟県","佐渡市",2472993
"熊本県","山鹿市",2471369
"岩手県","洋野町",2471099
"山形県","川西町",247632
"秋田県","八郎潟町",2471
"山形県","舟形町",2469651
"鳥取県","岩美町",2469418
"島根県","美郷町",2468958
"熊本県","氷川町",2468312
"北海道","白糠町",2468256
"熊本県","玉東町",2468141
"高知県","奈半利町",2467952
"福岡県","大任町",2467590
"北海道","赤平市",2467176
"奈良県","東吉野村",2465700
"高知県","田野町",2465108
"沖縄県","伊江村",2463869
"長野県","栄村",2463828
"鹿児島県","長島町",2462174
"長野県","筑北村",2462090
"徳島県","佐那河内村",246848
"鳥取県","南部町",2459793
"鳥取県","大山町",2459236
"宮崎県","新富町",2459100
"石川県","珠洲市",2458428
"長野県","小川村",2457303
"宮崎県","えびの市",2456344
"山形県","西川町",2455132
"福岡県","福智町",2454352
"岩手県","八幡平市",2453593
"青森県","五戸町",2452383
"新潟県","十日町市",2451972
"高知県","仁淀川町",2451803
"山形県","白鷹町",2451346
"鹿児島県","東串良町",245521
"秋田県","北秋田市",2449886
"大分県","杵築市",2449881
"岩手県","雫石町",2449571
"高知県","本山町",2449076
"福岡県","添田町",2448022
"岩手県","岩手町",2446354
"岩手県","平泉町",2445602
"鹿児島県","与論町",2445460
"熊本県","高森町",2444366
"宮崎県","串間市",2444039
"宮城県","丸森町",2443336
"島根県","奥出雲町",2442322
"北海道","古平町",2441473
"長崎県","小値賀町",2439878
"高知県","越知町",2439757
"高知県","安芸市",2439626
"鹿児島県","南さつま市",2439617
"静岡県","松崎町",2439038
"群馬県","草津町",2437341
"鹿児島県","指宿市",2437299
"福島県","金山町",2437253
"高知県","土佐清水市",2436678
"和歌山県","古座川町",2436393
"鹿児島県","肝付町",2436181
"鳥取県","北栄町",2435011
"長崎県","松浦市",2434965
"高知県","津野町",2434600
"大分県","竹田市",2433976
"鹿児島県","伊佐市",2433889
"新潟県","田上町",243697
"岩手県","遠野市",24328
"沖縄県","竹富町",2429572
"長野県","生坂村",2427699
"和歌山県","太地町",2423082
"広島県","神石高原町",2421181
"山形県","真室川町",2421011
"埼玉県","東秩父村",242715
"宮崎県","門川町",242476
"新潟県","津南町",2419701
"茨城県","大子町",2419502
"福岡県","赤村",2417412
"静岡県","西伊豆町",2417064
"佐賀県","有田町",2416857
"熊本県","和水町",2416018
"宮城県","涌谷町",2415229
"鳥取県","日南町",2414982
"北海道","芦別市",2414073
"青森県","中泊町",2413691
"鹿児島県","南九州市",2412707
"鳥取県","江府町",241948
"宮崎県","都農町",2409380
"秋田県","仙北市",2409309
"秋田県","五城目町",2409275
"北海道","鹿部町",2407966
"山形県","庄内町",2407294
"静岡県","南伊豆町",2406779
"新潟県","出雲崎町",2406619
"石川県","輪島市",2406139
"高知県","四万十町",2405686
"秋田県","男鹿市",2404422
"鳥取県","琴浦町",2403954
"秋田県","鹿角市",2403785
"熊本県","小国町",2402425
"長崎県","西海市",240574
"山形県","朝日町",2398740
"鳥取県","八頭町",2398039
"長崎県","雲仙市",2397822
"徳島県","牟岐町",2396392
"秋田県","三種町",2396150
"秋田県","湯沢市",2394195
"高知県","大月町",2394053
"福岡県","嘉麻市",2393987
"大分県","国東市",2391755
"青森県","南部町",2391666
"岩手県","住田町",2391384
"鹿児島県","錦江町",2389767
"福島県","柳津町",2389752
"熊本県","南関町",2388817
"大分県","九重町",2388181
"宮城県","川崎町",2387792
"青森県","佐井村",2386116
"山形県","金山町",2385577
"長野県","山ノ内町",2381914
"長野県","天龍村",2381363
"岩手県","軽米町",238657
"長崎県","東彼杵町",2379344
"岩手県","岩泉町",2378469
"熊本県","山都町",2378378
"北海道","三笠市",2376266
"鹿児島県","天城町",2376011
"熊本県","産山村",2372218
"島根県","飯南町",237933
"福岡県","川崎町",237672
"鹿児島県","湧水町",237633
"熊本県","あさぎり町",2369832
"宮城県","七ヶ宿町",2368763
"鹿児島県","阿久根市",2367913
"鳥取県","日野町",2367804
"高知県","黒潮町",2366597
"秋田県","羽後町",2366262
"秋田県","美郷町",2365650
"京都府","伊根町",2364933
"山形県","遊佐町",2363331
"宮崎県","西都市",2363320
"熊本県","甲佐町",236916
"宮崎県","高原町",236153
"青森県","田子町",2359908
"青森県","鰺ヶ沢町",2358576
"岩手県","一戸町",2358376
"岩手県","田野畑村",2355961
"熊本県","錦町",2355837
"沖縄県","伊是名村",2354573
"熊本県","芦北町",2352954
"鳥取県","智頭町",2352222
"宮崎県","国富町",2351976
"青森県","藤崎町",2351870
"熊本県","美里町",2351409
"福島県","北塩原村",2349577
"新潟県","阿賀町",2345342
"高知県","芸西村",2344966
"高知県","土佐町",2342073
"鹿児島県","曽於市",2342044
"山形県","大蔵村",2341985
"青森県","鶴田町",2341846
"青森県","つがる市",2339110
"福島県","西会津町",2337323
"高知県","室戸市",2337231
"岩手県","葛巻町",2335935
"長崎県","南島原市",2335485
"鳥取県","若桜町",2334949
"徳島県","海陽町",2334168
"宮崎県","日之影町",2332121
"宮崎県","美郷町",2331344
"福島県","昭和村",233133
"徳島県","上勝町",233113
"沖縄県","宜野座村",2329476
"青森県","三戸町",2326360
"沖縄県","本部町",2322022
"秋田県","八峰町",232403
"熊本県","相良村",2319519
"島根県","津和野町",2317641
"熊本県","水上村",2317416
"群馬県","神流町",2316271
"沖縄県","今帰仁村",2312907
"福岡県","東峰村",2311592
"沖縄県","粟国村",231925
"青森県","蓬田村",2308444
"青森県","平川市",2308271
"大分県","姫島村",2303117
"熊本県","五木村",230330
"宮崎県","綾町",2299570
"岩手県","普代村",2295427
"鹿児島県","南大隅町",2295081
"青森県","今別町",2292055
"青森県","黒石市",229262
"高知県","日高村",2289912
"長崎県","波佐見町",2287441
"徳島県","神山町",2287100
"奈良県","御杖村",2287052
"鳥取県","三朝町",2285623
"青森県","風間浦村",2282352
"青森県","新郷村",2282331
"宮崎県","木城町",2272196
"愛媛県","松野町",227490
"山形県","戸沢村",2269777
"鹿児島県","大和村",2269168
"北海道","歌志内市",2265285
"岩手県","九戸村",2261237
"沖縄県","国頭村",226980
"青森県","板柳町",226513
"青森県","田舎館村",226445
"鹿児島県","伊仙町",2259248
"長野県","売木村",2257844
"長野県","根羽村",2248871
"熊本県","津奈木町",2239972
"北海道","夕張市",2235172
"北海道","上砂川町",2231786
"熊本県","山江村",2227565
"山口県","阿武町",2224625
"高知県","三原村",2216977
"群馬県","上野村",2213893
"群馬県","南牧村",2209539
"秋田県","藤里町",2193779
"高知県","安田町",2181584
"青森県","深浦町",2178274
"熊本県","湯前町",2176968
"秋田県","東成瀬村",217294
"高知県","大豊町",2167882
"沖縄県","大宜味村",216371
"青森県","西目屋村",2154292
"青森県","大鰐町",2137981
"熊本県","球磨村",2131422
"秋田県","上小阿仁村",2118510
